url,brand,product_name, sale_price , mrp 
https://in.puma.com/in/en/pd/speedcat-suede-cafe-womens-ballet-shoes/406758?swatch=01,Puma,Speedcat Suede Cafe Women's Ballet Shoes,," ? 6,999.00 "
https://in.puma.com/in/en/pd/mostro-og-sneakers/397330?swatch=08,Puma,Mostro OG Sneakers," ? 7,499.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/108127?swatch=01,Puma,Badminton Smash Sprint Indoor Sports Shoes," ? 2,749.00 "," ? 4,999.00 "
https://in.puma.com/in/en/pd/palermo-supertifo-sneakers/404700?swatch=02,Puma,Palermo Supertifo Sneakers," ? 5,999.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/palermo-sp-sneakers/398383?swatch=01,Puma,Palermo S&P Sneakers,," ? 6,999.00 "
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=06,Puma,Palermo Classic Comfort Low Boot Sneakers," ? 5,249.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/puma-x-lamelo-ball-mb-05-metallic-basketball-shoes/312480?swatch=01,Puma,PUMA x LAMELO BALL MB.05 Metallic Basketball Shoes,," ? 13,999.00 "
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=07,Puma,Palermo Classic Comfort Low Boot Sneakers," ? 5,249.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/porsche-legacy-leadcat-2-0-slides/308857?swatch=03,Puma,Porsche Legacy Leadcat 2.0 Slides," ? 2,624.00 "," ? 3,499.00 "
https://in.puma.com/in/en/pd/rs-x-efekt-premium-athletics-sneakers/398203?swatch=01,Puma,RS-X Efekt Premium Athletics Sneakers," ? 6,239.00 "," ? 11,999.00 "
https://in.puma.com/in/en/pd/speedcat-full-leather-sneakers/405449?swatch=02,Puma,Speedcat Full Leather Sneakers," ? 6,749.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/inhale-sonic-casual-sneakers/404366?swatch=01,Puma,Inhale SONIC Casual Sneakers," ? 8,249.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/palermo-elevata-womens-leather-sneakers/400461?swatch=04,Puma,Palermo Elevata Women's Leather Sneakers,," ? 7,999.00 "
https://in.puma.com/in/en/pd/flexfocus-lite-better-knitrunning-shoes/379536?swatch=07,Puma,FlexFocus Lite Better KnitRunning Shoes,," ? 5,999.00 "
https://in.puma.com/in/en/pd/solarflash-iii-indoor-sports-shoes/107850?swatch=03,Puma,Solarflash III Indoor Sports Shoes," ? 5,599.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/softride-sway-womens-running-shoes/310318?swatch=16,Puma,SOFTRIDE Sway Women's Running Shoes," ? 5,599.00 "," ? 6,999.00 "
